VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,Mmis Obj Code,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,SPEND,SPEND_VALUE,Requisitioner,Buyer
MEDLINE INDUSTRIES INC,2022,"NURSING 2 NORTH M-S, 2117",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,10/12/2022 0:00,1314152-18671,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,BMG354212,NURSING 2 NORTH M-S,2117,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,2,2,2,1,2,7.3408,7.3408,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2022,"PHARMACY, 9400",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,10/25/2022 0:00,1314152-20192,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,BMG354212,PHARMACY,9400,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,7,7,7,1,7,25.6928,25.6928,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2022,"NURSING 2 NORTH M-S, 2117",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,10/17/2022 0:00,1314152-19217,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,BMG354212,NURSING 2 NORTH M-S,2117,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,16,16,16,1,16,58.7264,58.7264,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2022,"MATERIALS MANAGEMENT RECEIVING, 8840",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,9/30/2022 0:00,1314152-17354,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,MBB354212,MATERIALS MANAGEMENT RECEIVING,8840,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,5,5,5,24,120,392.05,392.05,"ZAMOR, KEVIN",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2022,"MATERIALS MANAGEMENT STORE ROOM, 8835",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,9/9/2022 0:00,1314152-14791,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,BMG354212,MATERIALS MANAGEMENT STORE ROOM,8835,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,5,5,5,24,120,392.05,392.05,"GANGADYAL, CHATRADYAL",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2023,"MATERIALS MANAGEMENT STORE ROOM, 8835",MOUNT SINAI BROOKLYN,B. BRAUN MEDICAL,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B. BRAUN MEDICAL,6/21/2023 0:00,1314152-50365,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,BMG354212,MATERIALS MANAGEMENT STORE ROOM,8835,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,6,6,6,24,144,528.5376,528.5376,"GANGADYAL, CHATRADYAL",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2023,"PHARMACY, 9400",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,3/9/2023 0:00,1314152-36653,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,MBB354212,PHARMACY,9400,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,6,6,6,1,6,22.02,22.02,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2023,"EMERGENCY DEPARTMENT ADMINISTRATION, 5700",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,3/29/2023 0:00,1314152-39530,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,MBB354212,EMERGENCY DEPARTMENT ADMINISTRATION,5700,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,11,11,11,1,11,40.3744,40.3744,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2023,"EMERGENCY DEPARTMENT ADMINISTRATION, 5700",MOUNT SINAI BROOKLYN,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI BROOKLYN,Yes,354212,B BRAUN MEDICAL INC,1/18/2023 0:00,1314152-30001,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,MBB354212,EMERGENCY DEPARTMENT ADMINISTRATION,5700,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,21,21,21,1,21,77.07,77.07,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
MEDLINE INDUSTRIES INC,2022,"NURSING 8A SOUTH NEUROSURGICAL, 2331",MOUNT SINAI WEST,B BRAUN MEDICAL INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,TRUE,TRUE,PROCESSED,900109,"900109, IV SOLUTIONS AND SETS",MOUNT SINAI WEST,Yes,354212,B BRAUN MEDICAL INC,10/3/2022 0:00,1314152-17522,GOODS,ORAPOS,INTRAVENOUS OR ARTERIAL TUBING ADMINISTRATION SETS,MBB354212,NURSING 8A SOUTH NEUROSURGICAL,2331,IV SOLUTIONS AND SETS,MSHS-MEDLINE-COI,,900109,0,10,10,1,10,36.7,36.7,"INTERFACE, HIGHJUMP",BUYER   CONVERSION
