Source Code,Facility,Facility Id,Pono Release,PoType,Dwh Po Status,Po Status,VendCode,Po Lineno,Dwh Po Line Status,Po Line Status,Dwh Item Status,Item#,ItemDesc,Vend Name,VendCatno,MfrName,MfrCatno,Po Uom,Mmis Qoe,GHX_CONT_ID1,GHX_CONT_ID2,Mmis Pkg String,Full Gl Account,Exp_Code,Expense Code Descrip,Shipto,Deliverto,Buyer Name,Requisitioner,Dept Number,Dept Description,Qty Invoiced,Qty Received,Creation Method,Service Start,Service End,Unspsc Code,Unspsc Segment,Unspsc Commodity,Unspsc Family,Unspsc Class,Reqno,Req Date,Po Create Date,Dwh Po Submit Type,Po Date,Null,Index,Po Price,Po Qty,Qoe Conv Ea,SPEND_VALUE
ORAPOS,OFFSITES,CHP,1381333,GOODS,PROCESSED,APPROVED,198499,11-1-1,CLOSED,CLOSED,NONCAT,NF,RENOVATION ORDER #00136572 SPIDEY CONNECTOR 12',UNITED MAINTENANCE SUPPLIES,72120,UNITED MAINTENANCE SUPPLIES,72120,EACH,NF,,,NF,4309-925109-72-7052-0000000000-0000-000-000,925109,BUILDING SUPPLIES,PE 7052 4309,PE 7052 4309,"BANNERMAN, TRACEY","ZOGAJ, HALIL",7052,310 E 24TH STREET,30,30,BUYER CREATED,,,NF,BUILDING SUPPLIES,BUILDING SUPPLIES,NF,NF,3204550,4/27/2023 12:00:00 AM,4/27/2023 12:00:00 AM,MANUAL FAX/PHONE,4/27/2023 12:00:00 AM, ,1,2.79,30,,83.7
ORAPOS,ST LUKES,CHP,1368744,GOODS,PROCESSED,APPROVED,23935,5-1-1,CLOSED,CLOSED,ACTIVE,8120885,UNASSIGNED UNASSIGNED,MEDTRONIC USA INC,12010,,12010,PACKAGE,20,PP-CA-649,PP-CA-649,PK20,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","ROBINSON, EUGENE",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42294733,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,INTRACARDIAC SUCTION DEVICE ACCESSORIES,SURGICAL PRODUCTS,OPEN HEART PERFUSION EQUIPMENT AND MONITORS AND ACCESSORIES AND RELATED PRODUCTS,3179122,2/17/2023 12:00:00 AM,2/17/2023 12:00:00 AM,EDI,2/17/2023 12:00:00 AM, ,2,247.6,1,20,247.6
ORAPOS,ST LUKES,CHP,1380125,GOODS,PROCESSED,APPROVED,23935,7-1-1,CLOSED,CLOSED,ACTIVE,8120885,UNASSIGNED UNASSIGNED,MEDTRONIC USA INC,12010,,12010,PACKAGE,20,PP-CA-649,PP-CA-649,PK20,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","ROBINSON, EUGENE",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42294733,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,INTRACARDIAC SUCTION DEVICE ACCESSORIES,SURGICAL PRODUCTS,OPEN HEART PERFUSION EQUIPMENT AND MONITORS AND ACCESSORIES AND RELATED PRODUCTS,3203837,4/21/2023 12:00:00 AM,4/21/2023 12:00:00 AM,EDI,4/21/2023 12:00:00 AM, ,3,247.6,1,20,247.6
ORAPOS,ST LUKES,CHP,1398465,GOODS,PROCESSED,APPROVED,23935,1-1-1,CLOSED,CLOSED,ACTIVE,8120885,UNASSIGNED UNASSIGNED,MEDTRONIC USA INC,12010,,12010,PACKAGE,20,PP-CA-649,PP-CA-649,PK20,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","SPENCER, DARREL (DARRELL)",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42294733,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,INTRACARDIAC SUCTION DEVICE ACCESSORIES,SURGICAL PRODUCTS,OPEN HEART PERFUSION EQUIPMENT AND MONITORS AND ACCESSORIES AND RELATED PRODUCTS,3241308,7/26/2023 12:00:00 AM,7/26/2023 12:00:00 AM,EDI,7/26/2023 12:00:00 AM, ,4,247.6,1,20,247.6
ORAPOS,ST LUKES,CHP,1399812,GOODS,PROCESSED,APPROVED,23935,2-1-1,CLOSED,CLOSED,NONCAT,NF,20FR. RT VENOUS CANNULA,MEDTRONIC USA INC,69320,MEDTRONIC USA INC,69320,BOX,NF,,,NF,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","SPENCER, DARREL (DARRELL)",4090,CARDIAC SURGERY,1,1,BUYER CREATED,,,NF,PERFUSION SUPPLIES,PERFUSION SUPPLIES,NF,NF,3244073,8/2/2023 12:00:00 AM,8/3/2023 12:00:00 AM,EDI,8/3/2023 12:00:00 AM, ,5,306.9,1,,306.9
ORAPOS,ST LUKES,CHP,1402555,GOODS,PROCESSED,APPROVED,23935,1-1-1,CLOSED,CLOSED,ACTIVE,6025549,CANNULA PERFUSION 15IN OVAL LOW PROFILE 32-40FR .5IN MC2 VENOUS ADULT 2 STAGE NONVENTED CONNECTOR KINK RESISTANT MULTIPORT ATRIAL BASKET,MEDTRONIC USA INC,91263C,,91263C,PACKAGE,10,PP-CA-649,PP-CA-649,PK10,1109-900150-02-4090-0000000000-0000-000-000,900150,OPERATING ROOM SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","ROBINSON, EUGENE",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42295302,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,SURGICAL PERFUSION CANNULAS OR CATHETERS,SURGICAL PRODUCTS,OPEN HEART SURGICAL SUPPLIES AND ACCESSORIES AND RELATED PRODUCTS,3249936,8/17/2023 12:00:00 AM,8/17/2023 12:00:00 AM,EDI,8/17/2023 12:00:00 AM, ,6,336.6,1,10,336.6
ORAPOS,ST LUKES,CHP,1404692,GOODS,PROCESSED,APPROVED,23935,1-1-1,CLOSED,CLOSED,ACTIVE,8120885,UNASSIGNED UNASSIGNED,MEDTRONIC USA INC,12010,,12010,PACKAGE,20,PP-CA-649,PP-CA-649,PK20,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","SPENCER, DARREL (DARRELL)",4090,CARDIAC SURGERY,2,2,SYSTEM CREATED,,,42294733,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,INTRACARDIAC SUCTION DEVICE ACCESSORIES,SURGICAL PRODUCTS,OPEN HEART PERFUSION EQUIPMENT AND MONITORS AND ACCESSORIES AND RELATED PRODUCTS,3254976,8/30/2023 12:00:00 AM,8/30/2023 12:00:00 AM,EDI,8/30/2023 12:00:00 AM, ,7,247.6,2,20,495.2
ORAPOS,ST LUKES,CHP,1404694,GOODS,PROCESSED,APPROVED,23935,1-1-1,CLOSED,CLOSED,ACTIVE,0097688,CANNULA PERFUSION 15IN .5IN CONNECTOR 32-40FR MC2 VENOUS ADULT 2 STAGE OVAL BODY STERILE,MEDTRONIC USA INC,91263,,91263,BOX,10,PP-CA-649,PP-CA-649,BX10,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","SPENCER, DARREL (DARRELL)",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42295302,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,SURGICAL PERFUSION CANNULAS OR CATHETERS,SURGICAL PRODUCTS,OPEN HEART SURGICAL SUPPLIES AND ACCESSORIES AND RELATED PRODUCTS,3254968,8/30/2023 12:00:00 AM,8/30/2023 12:00:00 AM,EDI,8/30/2023 12:00:00 AM, ,8,316.8,1,10,316.8
ORAPOS,ST LUKES,CHP,1409734,GOODS,PROCESSED,APPROVED,23935,1-1-1,CLOSED,CLOSED,ACTIVE,0097688,CANNULA PERFUSION 15IN .5IN CONNECTOR 32-40FR MC2 VENOUS ADULT 2 STAGE OVAL BODY STERILE,MEDTRONIC USA INC,91263,,91263,BOX,10,PP-CA-649,PP-CA-649,BX10,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","ROBINSON, EUGENE",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42295302,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,SURGICAL PERFUSION CANNULAS OR CATHETERS,SURGICAL PRODUCTS,OPEN HEART SURGICAL SUPPLIES AND ACCESSORIES AND RELATED PRODUCTS,3265721,9/28/2023 12:00:00 AM,9/28/2023 12:00:00 AM,EDI,9/28/2023 12:00:00 AM, ,9,316.8,1,10,316.8
ORAPOS,ST LUKES,CHP,1410781,GOODS,PROCESSED,APPROVED,23935,6-1-1,CLOSED,CLOSED,ACTIVE,8120885,UNASSIGNED UNASSIGNED,MEDTRONIC USA INC,12010,,12010,PACKAGE,20,PP-CA-649,PP-CA-649,PK20,1109-900222-02-4090-0000000000-0000-000-000,900222,PERFUSION SUPPLIES,SL ST LUKES,SL 4090 1109,"BANNERMAN, TRACEY","ROBINSON, EUGENE",4090,CARDIAC SURGERY,1,1,SYSTEM CREATED,,,42294733,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,INTRACARDIAC SUCTION DEVICE ACCESSORIES,SURGICAL PRODUCTS,OPEN HEART PERFUSION EQUIPMENT AND MONITORS AND ACCESSORIES AND RELATED PRODUCTS,3268043,10/4/2023 12:00:00 AM,10/4/2023 12:00:00 AM,EDI,10/4/2023 12:00:00 AM, ,10,247.6,1,20,247.6
