VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND (1),SPEND % (for Trend),SPEND_VALUE 1,Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
BOSTON SCIENTIFIC CORP,2023,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI HOSPITAL,Yes,M001719000,BOSTON SCIENTIFIC CORP,2/1/2023 12:00:00 AM,M1927068,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,INTERVENTIONAL RADIOLOGY,01040146,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,101-101-11-21050-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,M 0146 INTERVENTIONAL RADIOLOGY,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,M,MOUNT SINAI HOSPITAL,010401464249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,2/1/2023 12:00:00 AM,CLOSED,3,2170,CLOSED,EACH,NF,2/1/2023 12:00:00 AM,MSIR023124,"RADIOLOGY REQ INTERFACE, INTERVENTIONAL",,,M 0146 INTERVENTIONAL RADIOLOGY,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2023,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,OPEN,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI HOSPITAL,Yes,M001719000,BOSTON SCIENTIFIC CORP,12/22/2023 12:00:00 AM,M2047176,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,INTERVENTIONAL RADIOLOGY,01040146,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,101-101-11-21050-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,M 0146 INTERVENTIONAL RADIOLOGY,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,M,MOUNT SINAI HOSPITAL,010401464249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,12/22/2023 12:00:00 AM,CLOSED,11,2170,OPEN,EACH,NF,12/22/2023 12:00:00 AM,MSIR028685,"RADIOLOGY REQ INTERFACE, INTERVENTIONAL",,,M 0146 INTERVENTIONAL RADIOLOGY,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2023,"STROKE PROGRAM, 01301735",MOUNT SINAI QUEENS,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI QUEENS,Yes,M001719000,BOSTON SCIENTIFIC CORP,6/12/2023 12:00:00 AM,Q1974492,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,STROKE PROGRAM,01301735,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,102-107-11-13055-00000000000-0-0,NF,MSQ MAIN PURCHASING,MSQ MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,Q 1735 STROKE PROGRAM 25-10 30TH AVE,"STROKE PROGRAM, 01301735",MOUNT SINAI QUEENS,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,Q,MOUNT SINAI QUEENS,013017354249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,6/12/2023 12:00:00 AM,CLOSED,3,2170,CLOSED,EACH,NF,6/12/2023 12:00:00 AM,MQSC-001641,QSIGHT QUEENS  REQ INTERFACE,,,Q 1735 STROKE PROGRAM 25-10 30TH AVE,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2023,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI HOSPITAL,Yes,M001719000,BOSTON SCIENTIFIC CORP,11/3/2023 12:00:00 AM,M2028732,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,INTERVENTIONAL RADIOLOGY,01040146,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,101-101-11-21050-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,M 0146 INTERVENTIONAL RADIOLOGY,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,M,MOUNT SINAI HOSPITAL,010401464249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,11/3/2023 12:00:00 AM,CLOSED,2,2170,CLOSED,EACH,NF,11/3/2023 12:00:00 AM,MSIR027760,"RADIOLOGY REQ INTERFACE, INTERVENTIONAL",,,M 0146 INTERVENTIONAL RADIOLOGY,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2024,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI HOSPITAL,Yes,M001719000,BOSTON SCIENTIFIC CORP,8/12/2024 12:00:00 AM,M2134350,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,INTERVENTIONAL RADIOLOGY,01040146,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,101-101-11-21050-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,M 0146 INTERVENTIONAL RADIOLOGY,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,M,MOUNT SINAI HOSPITAL,010401464249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,8/12/2024 12:00:00 AM,CLOSED,6,2170,CLOSED,EACH,NF,8/12/2024 12:00:00 AM,MSIR032408,"RADIOLOGY REQ INTERFACE, INTERVENTIONAL",,,M 0146 INTERVENTIONAL RADIOLOGY,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2023,"STROKE PROGRAM, 01301735",MOUNT SINAI QUEENS,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI QUEENS,Yes,M001719000,BOSTON SCIENTIFIC CORP,5/24/2023 12:00:00 AM,Q1967963,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,STROKE PROGRAM,01301735,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,102-107-11-13055-00000000000-0-0,NF,MSQ MAIN PURCHASING,MSQ MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,Q 1735 STROKE PROGRAM 25-10 30TH AVE,"STROKE PROGRAM, 01301735",MOUNT SINAI QUEENS,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,Q,MOUNT SINAI QUEENS,013017354249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,5/24/2023 12:00:00 AM,CLOSED,1,2170,CLOSED,EACH,NF,5/24/2023 12:00:00 AM,MQSC-001615,QSIGHT QUEENS  REQ INTERFACE,,,Q 1735 STROKE PROGRAM 25-10 30TH AVE,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
BOSTON SCIENTIFIC CORP,2025,"NEURO ENDOVASCULAR SURGERY, 13055",MOUNT SINAI QUEENS,BOSTON SCIENTIFIC,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI QUEENS,Yes,M001719000,BOSTON SCIENTIFIC,2/11/2025 12:00:00 AM,M3056114,GOODS,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,ORAPOS,IMPLANTS,M001719000,NEURO ENDOVASCULAR SURGERY,13055,IMPLANTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,903030,M001719000,1,1,0,1,,,,2170,2170,NF,NF,GADSDEN CHONTE,GADSDEN CHONTE,"IMPLANTS 
 
BOSTON SCIENTIFIC",Y,13055 STROKE PROGRAM 25-10 30TH AVE,"NEURO ENDOVASCULAR SURGERY, 13055",MOUNT SINAI QUEENS,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,MOUNT SINAI QUEENS,MOUNT SINAI QUEENS,102-107-11-13055-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-CA-237,Yes,2170,2023675,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,NF,1,No, ,NO,903030, IMPLANTS,2/11/2025 12:00:00 AM,CLOSED FOR INVOICING,2-1-1,2170,CLOSED FOR INVOICING,EACH,NF,2/11/2025 12:00:00 AM,QS10358639,HERNANDEZ LUIS,,,MOUNT SINAI QUEENS - RECVG MAIN,2170,2170,2170,NF,NF,NF,BOSTON SCIENTIFIC CORP,3160
BOSTON SCIENTIFIC CORP,2024,"RADIOLOGY NEURO INTERVENTIONAL, 21052",MOUNT SINAI WEST,BOSTON SCIENTIFIC,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI WEST,Yes,M001719000,BOSTON SCIENTIFIC,10/21/2024 12:00:00 AM,W1003604,GOODS,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,ORAPOS,IMPLANTS,M001719000,RADIOLOGY NEURO INTERVENTIONAL,21052,IMPLANTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,903030,M001719000,1,1,1,1,,,,2170,2170,NF,NF,PERNELL JOURNEE,PERNELL JOURNEE,"IMPLANTS 
 
BOSTON SCIENTIFIC",Y,1000 10TH AVE RM 4C-12 RAD NEURO INTRVNTNL,"RADIOLOGY NEURO INTERVENTIONAL, 21052",MOUNT SINAI WEST,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,MOUNT SINAI - WEST,MOUNT SINAI WEST,301-301-11-21052-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-CA-237,Yes,2170,2023675,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,NF,1,No, ,NO,903030, IMPLANTS,10/21/2024 12:00:00 AM,CLOSED,1-1-1,2170,CLOSED,EACH,NF,10/21/2024 12:00:00 AM,W1483,MCLEOD KENRICK,,,MOUNT SINAI WEST - RECVG MAIN,2170,2170,2170,NF,NF,NF,BOSTON SCIENTIFIC CORP,3160
BOSTON SCIENTIFIC CORP,2024,"RADIOLOGY NEURO INTERVENTIONAL, 21052",MOUNT SINAI WEST,BOSTON SCIENTIFIC,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI WEST,Yes,M001719000,BOSTON SCIENTIFIC,12/23/2024 12:00:00 AM,W1020445,GOODS,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,ORAPOS,IMPLANTS,M001719000,RADIOLOGY NEURO INTERVENTIONAL,21052,IMPLANTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,903030,M001719000,1,1,1,1,,,,2170,2170,NF,NF,PERNELL JOURNEE,PERNELL JOURNEE,"IMPLANTS 
 
BOSTON SCIENTIFIC",Y,1000 10TH AVE RM 4C-12 RAD NEURO INTRVNTNL,"RADIOLOGY NEURO INTERVENTIONAL, 21052",MOUNT SINAI WEST,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,MOUNT SINAI - WEST,MOUNT SINAI WEST,301-301-11-21052-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-CA-237,Yes,2170,2023675,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,NF,1,No, ,NO,903030, IMPLANTS,12/23/2024 12:00:00 AM,CLOSED,1-1-1,2170,CLOSED,EACH,NF,12/23/2024 12:00:00 AM,QS10222166,MCLEOD KENRICK,,,MOUNT SINAI WEST - RECVG MAIN,2170,2170,2170,NF,NF,NF,BOSTON SCIENTIFIC CORP,3160
BOSTON SCIENTIFIC CORP,2024,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,BOSTON SCIENTIFIC CORP,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4249,"4249, ENDOVASCULAR STENTS",MOUNT SINAI HOSPITAL,Yes,M001719000,BOSTON SCIENTIFIC CORP,8/13/2024 12:00:00 AM,M2134842,PURCHASE ORDER,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2M001719000M001719000,PMMPOS,ENDOPROSTHESIS OR WALL STENTS OR TUBES,M001719000,INTERVENTIONAL RADIOLOGY,01040146,ENDOVASCULAR STENTS,MSHS-CA-237,,STENT ENDOPROSTHESIS 6MM DIA 5FR OD 22MML 135CML WORKING CATHETER CONICHROME CAROTID ARTERY SELF-EXPANDING RAPID EXCHANGE LOW-PROFILE CLOSED CELL WALLSTENT MONORAIL MRI-SAFE NON-RADIOLUCENT MARKER X2,4249,M001719000,1,,1,1,1,1,1,2170,2170,101-101-11-21050-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"ENDOPROSTHESIS OR WALL STENTS OR TUBES 
 
BOSTON SCIENTIFIC CORP",SYSTEM CREATED,M 0146 INTERVENTIONAL RADIOLOGY,"INTERVENTIONAL RADIOLOGY, 01040146",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,2170,M,MOUNT SINAI HOSPITAL,010401464249,False,MSHS-CA-237,Yes,,251642,BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORP,1/EA,1,No, ,NO,4249, ENDOVASCULAR STENTS,8/13/2024 12:00:00 AM,CLOSED,7,2170,CLOSED,EACH,NF,8/13/2024 12:00:00 AM,MSIR032441,"RADIOLOGY REQ INTERFACE, INTERVENTIONAL",,,M 0146 INTERVENTIONAL RADIOLOGY,2170,2170,2170,STENTS,42295905,SURGICAL PRODUCTS,BOSTON SCIENTIFIC CORP,BSSCIS
