VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,REQ_SOURCE,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
COOK MEDICAL INC,2024,,S NASSAU,COOK MEDICAL,,True,True,CLOSED,,,S NASSAU,Yes,G53614,COOK MEDICAL,11/7/2024 12:00:00 AM,8355034,Inventory-Inventory_,,PLUG ANAL FISTULAG53614G53614,LAWPOS,,G53614,,,,PP-OR-2089,,PLUG ANAL FISTULA,,G53614,,1,,1,1,1,0,1034,1034,,,Suzanne English,Suzanne English,,,Operating Room - G Wing,,S NASSAU,,CLOSED,,FALSE,FALSE,1034,,S NASSAU,,False,PP-OR-2089,Yes,Yes,,45951,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1034,CLOSED,EA,11/7/2024 12:00:00 AM,NF,,,Camille Cox,,,OR,1034,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G45353,COOK MEDICAL,9/20/2024 12:00:00 AM,8350323,Non-Stock-Non-Stock_,,GUIDEWIRE LUNDERQUIST 260MMG45353G45353,LAWPOS,MED SURG SUPPLIES,G45353,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-CVIR-008,,GUIDEWIRE LUNDERQUIST 260MM,,G45353,,2,,2,,,0,1172,1172,,,Suzanne English,Suzanne English,"MED SURG SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,1172,,S NASSAU,,False,MSHS-CVIR-008,Yes,Yes,,38583,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,586,CLOSED,BX,9/20/2024 12:00:00 AM,NF,,,Camille Cox,,,OR,1172,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,OTHER IMPLANTS,True,True,CLOSED,,,S NASSAU,Yes,G58010,COOK MEDICAL,8/23/2024 12:00:00 AM,8347668,Non-Stock-Non-Stock_,,DEVICE CLIPPING ENDO INSTINCTG58010G58010,LAWPOS,OTHER IMPLANTS,G58010,Endoscopy Room,2232,Other Implants,PP-OR-2506,,DEVICE CLIPPING ENDO INSTINCT,,G58010,,2,,2,,,0,3800,3800,,,Isa Shachove,Isa Shachove,"OTHER IMPLANTS 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,3800,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,76705,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1900,CLOSED,BX,8/23/2024 12:00:00 AM,NF,,,Christine Alejandro,,,STORE,3800,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2023,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G22647,COOK MEDICAL,3/3/2023 12:00:00 AM,8257589,Non-Stock-Non-Stock_,,SNARE ENDOSCOPIC 15MMG22647G22647,LAWPOS,MED SURG SUPPLIES,G22647,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,SNARE ENDOSCOPIC 15MM,,G22647,,1,,1,,,0,275,275,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,275,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,76709,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,275,CLOSED,BX  ,3/3/2023 12:00:00 AM,NF,,,Christine Alejandro,,,STORE,275,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Cardiac Catheterization Lab, 2242",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00280,COOK MEDICAL,3/21/2025 12:00:00 AM,8368068,Non-Stock-Non-Stock_,,NEEDLE ARTERIAL 21GA 4CML PERCG00280G00280,LAWPOS,MED SURG SUPPLIES,G00280,Cardiac Catheterization Lab,2242,Med Surg Supplies,PP-CA-536,,NEEDLE ARTERIAL 21GA 4CML PERC,,G00280,,30,,30,,,0,105,105,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Cardiac Catheterization Lab, 2242",S NASSAU,,CLOSED,,FALSE,FALSE,104.7,,S NASSAU,,False,PP-CA-536,Yes,Yes,,54497,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,3.5,CLOSED,CA,3/21/2025 12:00:00 AM,NF,,,Debbie Jonason,,,STORE,104,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2023,"Cardiac Catheterization Lab, 2242",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00280,COOK MEDICAL,10/1/2023 12:00:00 AM,8301457,Non-Stock-Non-Stock_,,NEEDLE ARTERIAL 21GA 4CML PERCG00280G00280,LAWPOS,MED SURG SUPPLIES,G00280,Cardiac Catheterization Lab,2242,Med Surg Supplies,PP-CA-536,,NEEDLE ARTERIAL 21GA 4CML PERC,,G00280,,30,,30,,,0,104.7,104.7,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Cardiac Catheterization Lab, 2242",S NASSAU,,CLOSED,,FALSE,FALSE,104.7,,S NASSAU,,False,PP-CA-536,Yes,Yes,,54497,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,3.49,CLOSED,CA,10/1/2023 12:00:00 AM,NF,,,Debbie Jonason,,,STORE,104,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G14220,COOK MEDICAL,2/21/2025 12:00:00 AM,8365149,Non-Stock-Non-Stock_,,INJECTION CYSTOSCOPIC WILLIAMSG14220G14220,LAWPOS,MED SURG SUPPLIES,G14220,Operating Room - G Wing,2237,Med Surg Supplies,ACU-OR-071,,INJECTION CYSTOSCOPIC WILLIAMS,,G14220,,4,,4,1,4,0,124,124,,,Suzanne English,Suzanne English,"MED SURG SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,124.1,,S NASSAU,,False,ACU-OR-071,Yes,Yes,,70685,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,4,31,CLOSED,EA,2/21/2025 12:00:00 AM,NF,,,Camille Cox,,,OR,124,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G21979,COOK MEDICAL,5/21/2024 12:00:00 AM,8338536,Non-Stock-Non-Stock_,,STENT BILIARY 7FR 10CMG21979G21979,LAWPOS,MED SURG SUPPLIES,G21979,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,STENT BILIARY 7FR 10CM,,G21979,,3,,3,1,3,0,180,180,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,180,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,71348,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,7,60,CLOSED,EA,5/21/2024 12:00:00 AM,NF,,,Daphney Michel,,,STORE,180,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL INC,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G22161,COOK MEDICAL INC,9/18/2025 12:00:00 AM,8384054,Non-Stock-Non-Stock_,,STENT BILI DBL PIGTL 7FR 4CMG22161G22161,LAWPOS,MED SURG SUPPLIES,G22161,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,STENT BILI DBL PIGTL 7FR 4CM,,G22161,,2,,2,1,2,0,124,124,,,Isa Shachove,Isa Shachove,"MED SURG SUPPLIES 
 
COOK MEDICAL INC",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,124,,S NASSAU,,False,PP-OR-2506,Yes,Yes,,71352,COOK MEDICAL INC,COOK MEDICAL INC,,,No, ,NO,,,,CLOSED,1,62,CLOSED,EA,9/18/2025 12:00:00 AM,NF,,,Daphney Michel,,,STORE,124,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G13165,COOK MEDICAL,7/15/2025 12:00:00 AM,8378443,Non-Stock-Non-Stock_,,KIT RHINO TRACH INTRODUCER SZ6G13165G57691,LAWPOS,MED SURG SUPPLIES,G57691,Operating Room - G Wing,2237,Med Surg Supplies,MSHS-NS-009,,KIT RHINO TRACH INTRODUCER SZ6,,G13165,,1,,1,1,1,0,346,346,,,Suzanne English,Suzanne English,"MED SURG SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,346,,S NASSAU,,False,MSHS-NS-009,Yes,Yes,,49547,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,346,CLOSED,EA,7/15/2025 12:00:00 AM,NF,,,Camille Cox,,,OR,346,,,,COOK MEDICAL INC,6030
