VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,REQ_SOURCE,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PO_PROCESSING_TYPE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
ZIMMER BIOMET,2024,"NF, NF",MOUNT SINAI HOSPITAL,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031012,ZIMMER US INC,9/18/2024 12:00:00 AM,M2148017,PURCHASE ORDER,NF,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN110031012110031012,PMMPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031012,NF,NF,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN,903030,110031012,1,1,1,1,1,1,1,950,950,NF,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",SYSTEM CREATED,13200 SURGEX OR ORTHO GP3 - 382,"NF, NF",MOUNT SINAI HOSPITAL,INACTIVE,CLOSED,EDI,TRUE,TRUE,950,M,MOUNT SINAI HOSPITAL,101-101-11-13200-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8392462,ZIMMER US INC,ZIMMER US INC,1/EA,1,No, ,NO,903030, IMPLANTS,9/18/2024 12:00:00 AM,CLOSED,5,950,CLOSED,EACH,9/18/2024 12:00:00 AM,TOUCHLESS PO,NF,9/18/2024 12:00:00 AM,SEN0109FG71MA90W8Y0JDM,SURGERY EXCHANGE REQ INTERFACE,,,MOUNT SINAI HOSPITAL - RECVG MAIN,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER BIOMET,ZIMMER US INC
ZIMMER BIOMET,2025,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ZIMMER BIOMET,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI BROOKLYN,Yes,110031013,ZIMMER BIOMET,9/16/2025 12:00:00 AM,B1035122,BILL ONLY,NF,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN110031013110031013,ORAPOS,IMPLANTS,110031013,OPERATING ROOM SUITE,12200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN,903030,110031013,1,1,0,1,1,1,1,950,950,NF,NF,STEVENSON OLETA,STEVENSON OLETA,"IMPLANTS 
 
ZIMMER BIOMET",NF,MOUNT SINAI BROOKLYN - RECVG MAIN,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,MOUNT SINAI BROOKLYN,MOUNT SINAI BROOKLYN,402-407-11-12200-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8391350,ZIMMER BIOMET,ZIMMER BIOMET,NF,1,No, ,NO,903030, IMPLANTS,9/16/2025 12:00:00 AM,CLOSED,5-1-1,950,CLOSED,EACH,9/16/2025 12:00:00 AM,PROCESSED BY BUYER,NF,,NF,NF,,,MOUNT SINAI BROOKLYN - RECVG MAIN,950,NF,NF,NF,ZIMMER BIOMET,21043
"ZIMMER BIOMET SPINE DBA ZIMVIE, DENTAL, BIOMET 3I",2025,"ORTHOPEDICS, 13200",MOUNT SINAI HOSPITAL,ZIMMER BIOMET,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031012,ZIMMER BIOMET,1/10/2025 12:00:00 AM,M3032511,BILL ONLY,NF,BEARING 28MM I.D. 44 MM O.D. SIZE F110031012110031012,ORAPOS,IMPLANTS,110031012,ORTHOPEDICS,13200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING 28MM I.D. 44 MM O.D. SIZE F,903030,110031012,1,1,1,1,1,1,1,950,950,NF,NF,ERP OIC SERVICE,ERP OIC SERVICE,"IMPLANTS 
 
ZIMMER BIOMET",NF,13200 SURGEX OR ORTHO GP3 - 382,"ORTHOPEDICS, 13200",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,MANUAL/PHONE,TRUE,TRUE,950,MOUNT SINAI HOSPITAL,MOUNT SINAI HOSPITAL,101-101-11-13200-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8444361,ZIMMER BIOMET,ZIMMER BIOMET,NF,1,No, ,NO,903030, IMPLANTS,12/20/2024 12:00:00 AM,CLOSED,1-1-1,950,CLOSED,EACH,1/10/2025 12:00:00 AM,TOUCHLESS PO,NF,,NF,NF,,,MOUNT SINAI HOSPITAL - RECVG MAIN,950,NF,NF,NF,"ZIMMER BIOMET SPINE DBA ZIMVIE, DENTAL, BIOMET 3I",310350
ZIMMER US INC,2023,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4229,"4229, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031012,ZIMMER US INC,9/29/2023 12:00:00 AM,M2015091,PURCHASE ORDER,NF,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN110031012110031012,PMMPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031012,OR ORTHOPEDICS GP 3C,01040784,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN,4229,110031012,1,,1,1,1,1,1,950,950,101-101-11-13200-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",SYSTEM CREATED,M 0784 SURGEX OR ORTHO GP3 - 382,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,M,MOUNT SINAI HOSPITAL,010407844229,False,MSHS-JOINT-ZIMMER,Yes,Yes,,563144,ZIMMER US INC,ZIMMER US INC,1/EA,1,No, ,NO,4229, IMPLANTS,9/29/2023 12:00:00 AM,CLOSED,51,950,CLOSED,EACH,9/29/2023 12:00:00 AM,NF,NF,9/28/2023 12:00:00 AM,SEFGFZH8BG550818059GUM,SURGERY EXCHANGE REQ INTERFACE,,,M 0784 SURGEX OR ORTHO GP3 - 382,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,ZIMMER US INC
ZIMMER US INC,2023,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4229,"4229, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031012,ZIMMER US INC,5/31/2023 12:00:00 AM,M1969853,PURCHASE ORDER,NF,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN110031012110031012,PMMPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031012,OR ORTHOPEDICS GP 3C,01040784,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E F OD44 MM ID28 MM LUMEN,4229,110031012,1,,1,1,1,1,1,950,950,101-101-11-13200-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",SYSTEM CREATED,M 0784 SURGEX OR ORTHO GP3 - 382,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,M,MOUNT SINAI HOSPITAL,010407844229,False,MSHS-JOINT-ZIMMER,Yes,Yes,,563144,ZIMMER US INC,ZIMMER US INC,1/EA,1,No, ,NO,4229, IMPLANTS,5/31/2023 12:00:00 AM,CLOSED,14,950,CLOSED,EACH,5/31/2023 12:00:00 AM,NF,NF,5/31/2023 12:00:00 AM,SE3A874HJHRZ23RURHMUWN,SURGERY EXCHANGE REQ INTERFACE,,,M 0784 SURGEX OR ORTHO GP3 - 382,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,ZIMMER US INC
ZIMMER US INC,2023,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,4229,"4229, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031013,ZIMMER US INC,10/31/2023 12:00:00 AM,M2027011,PURCHASE ORDER,NF,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN110031013110031013,PMMPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031013,OR ORTHOPEDICS GP 3C,01040784,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN,4229,110031013,1,,1,1,1,1,1,950,950,101-101-11-13200-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",SYSTEM CREATED,M 0784 SURGEX OR ORTHO GP3 - 382,"OR ORTHOPEDICS GP 3C, 01040784",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,M,MOUNT SINAI HOSPITAL,010407844229,False,MSHS-JOINT-ZIMMER,Yes,Yes,,560925,ZIMMER US INC,ZIMMER US INC,1/EA,1,No, ,NO,4229, IMPLANTS,10/31/2023 12:00:00 AM,CLOSED,28,950,CLOSED,EACH,10/31/2023 12:00:00 AM,NF,NF,10/31/2023 12:00:00 AM,SE57C37FUJK1M7C41AJCB8,SURGERY EXCHANGE REQ INTERFACE,,,M 0784 SURGEX OR ORTHO GP3 - 382,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,ZIMMER US INC
ZIMMER US INC,2024,"ORTHOPEDICS, 13200",MOUNT SINAI HOSPITAL,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI HOSPITAL,Yes,110031013,ZIMMER US INC,3/20/2024 12:00:00 AM,M2080728,PURCHASE ORDER,NF,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN110031013110031013,PMMPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031013,ORTHOPEDICS,13200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN,903030,110031013,1,,1,1,1,1,1,950,950,101-101-11-13200-00000000000-0-0,NF,MSH MAIN PURCHASING,MSH MAIN PURCHASING,"BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",SYSTEM CREATED,M 0784 SURGEX OR ORTHO GP3 - 382,"ORTHOPEDICS, 13200",MOUNT SINAI HOSPITAL,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,M,MOUNT SINAI HOSPITAL,010407844229,False,MSHS-JOINT-ZIMMER,Yes,Yes,,560925,ZIMMER US INC,ZIMMER US INC,1/EA,1,No, ,NO,903030, IMPLANTS,3/20/2024 12:00:00 AM,CLOSED,3,950,CLOSED,EACH,3/20/2024 12:00:00 AM,NF,NF,3/20/2024 12:00:00 AM,SENTGTDN0CRA9PM81M70FZ,SURGERY EXCHANGE REQ INTERFACE,,,M 0784 SURGEX OR ORTHO GP3 - 382,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,ZIMMER US INC
ZIMMER US INC,2024,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,PROCESSED,903030,"903030, IMPLANTS",MOUNT SINAI BROOKLYN,Yes,110031013,ZIMMER US INC,2/9/2024 12:00:00 AM,1433394,BILL ONLY,NF,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN110031013110031013,ORAPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031013,OPERATING ROOM SUITE,12200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING HIP VIVACIT-E G OD46 MM ID28 MM LUMEN,903030,110031013,1,1,0,1,1,1,1,950,950,402-407-11-12200-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",BUYER CREATED,KH 2634 4709,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,MANUAL FAX/PHONE,TRUE,TRUE,950,CHP,MOUNT SINAI BROOKLYN,4709-900152-07-2634-0000000000-0000-000-000,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8391350,ZIMMER US INC,ZIMMER US INC,EA1,1,No, ,NO,903030, IMPLANTS,2/9/2024 12:00:00 AM,CLOSED,3-1-1,950,APPROVED,EACH,2/9/2024 12:00:00 AM,NF,NF,2/9/2024 12:00:00 AM,3315863,"STEVENSON, OLETA",,,KH KINGS HIGHWAY,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,21043
ZIMMER US INC,2023,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ZIMMER US INC,MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES,True,True,PROCESSED,903030,"903030, IMPLANTS",MOUNT SINAI BROOKLYN,Yes,110031012,ZIMMER US INC,5/30/2023 12:00:00 AM,1387500,BILL ONLY,NF,BEARING 28MM I.D. 44 MM O.D. SIZE F110031012110031012,ORAPOS,BI POLAR OR UNI POLAR HIP COMPONENTS,110031012,OPERATING ROOM SUITE,12200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING 28MM I.D. 44 MM O.D. SIZE F,903030,110031012,1,1,0,1,1,1,1,950,950,402-407-11-12200-00000000000-0-0,NF,BUYER   CONVERSION,"BUYER, CONVERSION","BI POLAR OR UNI POLAR HIP COMPONENTS 
 
ZIMMER US INC",BUYER CREATED,KH 2634 4709,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,MANUAL FAX/PHONE,TRUE,TRUE,950,CHP,MOUNT SINAI BROOKLYN,4709-900152-07-2634-0000000000-0000-000-000,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8444361,ZIMMER US INC,ZIMMER US INC,EA1,1,No, ,NO,903030, IMPLANTS,5/30/2023 12:00:00 AM,CLOSED,10-1-1,950,APPROVED,EACH,5/30/2023 12:00:00 AM,NF,NF,5/30/2023 12:00:00 AM,3219055,"STEVENSON, OLETA",,,KH KINGS HIGHWAY,950,HIP JOINT IMPLANTS,42321715,ORTHOPEDIC SURGICAL IMPLANTS,ZIMMER US INC,21043
ZIMMER BIOMET,2025,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ZIMMER BIOMET,IMPLANTS,True,True,CLOSED,903030,"903030, IMPLANTS",MOUNT SINAI BROOKLYN,Yes,110031012,ZIMMER BIOMET,8/26/2025 12:00:00 AM,B1033122,BILL ONLY,NF,BEARING 28MM I.D. 44 MM O.D. SIZE F110031012110031012,ORAPOS,IMPLANTS,110031012,OPERATING ROOM SUITE,12200,IMPLANTS,MSHS-JOINT-ZIMMER,,BEARING 28MM I.D. 44 MM O.D. SIZE F,903030,110031012,1,1,0,1,1,1,1,950,950,NF,NF,STEVENSON OLETA,STEVENSON OLETA,"IMPLANTS 
 
ZIMMER BIOMET",NF,MOUNT SINAI BROOKLYN - RECVG MAIN,"OPERATING ROOM SUITE, 12200",MOUNT SINAI BROOKLYN,ACTIVE,CLOSED,EDI,TRUE,TRUE,950,MOUNT SINAI BROOKLYN,MOUNT SINAI BROOKLYN,402-407-11-12200-903030-00000000000-000-0000-000-00000-00000----,False,MSHS-JOINT-ZIMMER,Yes,Yes,950,8444361,ZIMMER BIOMET,ZIMMER BIOMET,NF,1,No, ,NO,903030, IMPLANTS,8/26/2025 12:00:00 AM,CLOSED,7-1-1,950,CLOSED,EACH,8/26/2025 12:00:00 AM,PROCESSED BY BUYER,NF,,NF,NF,,,MOUNT SINAI BROOKLYN - RECVG MAIN,950,NF,NF,NF,ZIMMER BIOMET,21043
