VendName,Year of Po Date,Dept Desc_Num   ,Facility Dept,MnfrName,Unspsc Segment,And Filter,Direct Filter,Dwh Po Status,Exp_Code,Exp_Code_Desc,Facility,Has Contract,MfrCatno,MfrName,Po Date,Pono Release,PoType,REQ_SOURCE,SEARCH,Source Code,Unspsc Commodity,VendCatno,Dept Description,Dept Number,Expense Code Descrip,GHX_CONT_ID1,GHX_CONT_ID2,ItemDesc,Mmis Obj Code,MnfrCatNo,PO_QTY_CALC,Qty Invoiced,Qty Received,Po Qty,Qoe Conv Ea,Qty in EA,Qty in EA test,SPEND,SPEND_VALUE,ALIAS,ATTRIBUTE49,Buyer,Buyer Name,CATEGORY_CODE,CATEGORY_NAME,Commodity+MFR,Creation Method,Deliverto,Dept Desc_Num,Dwh Facility,Dwh Item Status,Dwh Po Line Status,Dwh Po Submit Type,Exp_Code_Filter_Check,Exp_Desc_Filter_Check,Ext Price,Facility Id,FacilityVend,Full Gl Account,GHX_CONT_ID1_1,GHX_CONT_ID1_CALC,GL_ENTITY,Has Contract (1),Has Contract Old,INVAMT,Item#,Mfr Name,MFR_VEN Name,Mmis Pkg String,Mmis Qoe,NonContract PunchOut,Null,PACKS_CONT_ID,pick Exp_Code,pick Exp_Desc,Po Create Date,Po Line Status,Po Lineno,Po Price,Po Status,Po Uom,PO_DATE,PO_PROCESSING_TYPE,PO_UPDATE_DATE,PunchOut Detail,Req Date,Reqno,Requisitioner,Service End,Service Start,Shipto,SPEND % (for Trend),Unspsc Class,Unspsc Code,Unspsc Family,Vend Name,VendCode
COOK MEDICAL INC,2024,,S NASSAU,COOK MEDICAL,,True,True,CLOSED,,,S NASSAU,Yes,G53614,COOK MEDICAL,11/7/2024 12:00:00 AM,8355034,Inventory-Inventory_,,PLUG ANAL FISTULAG53614G53614,LAWPOS,,G53614,,,,PP-OR-2584,,PLUG ANAL FISTULA,,G53614,,1,,1,1,1,0,1034,1034,,,Suzanne English,Suzanne English,NF,NF,,,Operating Room - G Wing,,S NASSAU,,CLOSED,,FALSE,FALSE,1034,S NASSAU,S NASSAU,,False,PP-OR-2584,,Yes,Yes,,45951,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1034,CLOSED,EA,11/7/2024 12:00:00 AM,,,NF,,,Camille Cox,,,OR,1034,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2026,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,OTHER IMPLANTS,True,True,CLOSED,,,S NASSAU,Yes,G34502,COOK MEDICAL,1/29/2026 12:00:00 AM,8395864,Non-Stock-Non-Stock_,,FILTER EMBOLIZATION 49MMG34502G34502,LAWPOS,OTHER IMPLANTS,G34502,Operating Room - G Wing,2237,Other Implants,PP-CA-618,,FILTER EMBOLIZATION 49MM,,G34502,,1,,1,,,0,1400,1400,,,Suzanne English,Suzanne English,,,"OTHER IMPLANTS 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,1400,S NASSAU,S NASSAU,,False,PP-CA-618,,Yes,Yes,,50545,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1400,CLOSED,BX,1/29/2026 12:00:00 AM,,,NF,,,Camille Cox,,,OR,1400,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL INC,OTHER SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G22633,COOK MEDICAL INC,6/4/2024 12:00:00 AM,8339883,Non-Stock-Non-Stock_,,SNARE ACUSNARE MINI 1.5X3G22633G22633,LAWPOS,OTHER SUPPLIES,G22633,Endoscopy Room,2232,Other Supplies,PP-OR-2506,,SNARE ACUSNARE MINI 1.5X3,,G22633,,1,,1,,,0,110,110,,,Isa Shachove,Isa Shachove,NF,NF,"OTHER SUPPLIES 
 
COOK MEDICAL INC",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,110,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,70694,COOK MEDICAL INC,COOK MEDICAL INC,,,No, ,NO,,,,CLOSED,1,110,CLOSED,BX,6/4/2024 12:00:00 AM,,,NF,,,Christine Alejandro,,,STORE,110,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G57784,COOK MEDICAL,9/26/2025 12:00:00 AM,8384776,Non-Stock-Non-Stock_,,NEEDLE 25G ACUJET FLEX INJECTG57784G57784,LAWPOS,MED SURG SUPPLIES,G57784,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,NEEDLE 25G ACUJET FLEX INJECT,,G57784,,1,,1,,,0,364,364,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,364,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,45600,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,364,CLOSED,BX,9/26/2025 12:00:00 AM,,,NF,,,Daphney Michel,,,STORE,364,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G34693,COOK MEDICAL,6/26/2024 12:00:00 AM,8342028,Non-Stock-Non-Stock_,,WIRE GUIDE FUSION PRELOADEDG34693G34693,LAWPOS,MED SURG SUPPLIES,G34693,Endoscopy Room,2232,Med Surg Supplies,PP-OR-2506,,WIRE GUIDE FUSION PRELOADED,,G34693,,5,,5,,,0,1725,1725,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,1725,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,75049,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,5,345,CLOSED,BX,6/26/2024 12:00:00 AM,,,NF,,,Daphney Michel,,,STORE,1725,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,OTHER SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G52914,COOK MEDICAL,7/18/2024 12:00:00 AM,8344140,Non-Stock-Non-Stock_,,FILTER FEMORAL VENA CAVA 7FRG52914G34502,LAWPOS,OTHER SUPPLIES,G34502,Operating Room - G Wing,2237,Other Supplies,PP-CA-618,,FILTER FEMORAL VENA CAVA 7FR,,G52914,,1,,1,,,0,1299,1299,,,Suzanne English,Suzanne English,NF,NF,"OTHER SUPPLIES 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,1299,S NASSAU,S NASSAU,,False,PP-CA-618,,Yes,Yes,,50545,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1299,CLOSED,BX,7/18/2024 12:00:00 AM,,,NF,,,Camille Cox,,,OR,1299,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Operating Room - G Wing, 2237",S NASSAU,COOK MEDICAL,OTHER IMPLANTS,True,True,CLOSED,,,S NASSAU,Yes,G52914,COOK MEDICAL,6/26/2025 12:00:00 AM,8376941,Non-Stock-Non-Stock_,,FILTER FEMORAL VENA CAVA 7FRG52914G34502,LAWPOS,OTHER IMPLANTS,G34502,Operating Room - G Wing,2237,Other Implants,PP-CA-618,,FILTER FEMORAL VENA CAVA 7FR,,G52914,,1,,1,,,0,1299,1299,,,Suzanne English,Suzanne English,NF,NF,"OTHER IMPLANTS 
 
COOK MEDICAL",,Operating Room - G Wing,"Operating Room - G Wing, 2237",S NASSAU,,CLOSED,,FALSE,FALSE,1299,S NASSAU,S NASSAU,,False,PP-CA-618,,Yes,Yes,,50545,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1299,CLOSED,BX,6/26/2025 12:00:00 AM,,,NF,,,Camille Cox,,,OR,1299,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2024,"Endoscopy Room, 2232",S NASSAU,COOK MEDICAL,OTHER IMPLANTS,True,True,CLOSED,,,S NASSAU,Yes,G58010,COOK MEDICAL,7/26/2024 12:00:00 AM,8344728,Non-Stock-Non-Stock_,,DEVICE CLIPPING ENDO INSTINCTG58010G58010,LAWPOS,OTHER IMPLANTS,G58010,Endoscopy Room,2232,Other Implants,PP-OR-2506,,DEVICE CLIPPING ENDO INSTINCT,,G58010,,1,,1,,,0,1900,1900,,,Isa Shachove,Isa Shachove,NF,NF,"OTHER IMPLANTS 
 
COOK MEDICAL",,MM - Store Room,"Endoscopy Room, 2232",S NASSAU,,CLOSED,,FALSE,FALSE,1900,S NASSAU,S NASSAU,,False,PP-OR-2506,,Yes,Yes,,76705,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,1900,CLOSED,BX,7/26/2024 12:00:00 AM,,,NF,,,Christine Alejandro,,,STORE,1900,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2025,"Cardiac Catheterization Lab, 2242",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00280,COOK MEDICAL,9/13/2025 12:00:00 AM,8383673,Non-Stock-Non-Stock_,,NEEDLE ARTERIAL 21GA 4CML PERCG00280G00280,LAWPOS,MED SURG SUPPLIES,G00280,Cardiac Catheterization Lab,2242,Med Surg Supplies,PP-CA-723,,NEEDLE ARTERIAL 21GA 4CML PERC,,G00280,,40,,40,,,0,140,140,,,Isa Shachove,Isa Shachove,NF,NF,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Cardiac Catheterization Lab, 2242",S NASSAU,,CLOSED,,FALSE,FALSE,139.6,S NASSAU,S NASSAU,,False,PP-CA-723,,Yes,Yes,,54497,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,3.5,CLOSED,CA,9/13/2025 12:00:00 AM,,,NF,,,Debbie Jonason,,,STORE,139,,,,COOK MEDICAL INC,6030
COOK MEDICAL INC,2026,"Cardiac Catheterization Lab, 2242",S NASSAU,COOK MEDICAL,MED SURG SUPPLIES,True,True,CLOSED,,,S NASSAU,Yes,G00280,COOK MEDICAL,2/1/2026 12:00:00 AM,8396072,Non-Stock-Non-Stock_,,NEEDLE ARTERIAL 21GA 4CML PERCG00280G00280,LAWPOS,MED SURG SUPPLIES,G00280,Cardiac Catheterization Lab,2242,Med Surg Supplies,PP-CA-723,,NEEDLE ARTERIAL 21GA 4CML PERC,,G00280,,50,,50,,,0,175,175,,,Isa Shachove,Isa Shachove,,,"MED SURG SUPPLIES 
 
COOK MEDICAL",,MM - Store Room,"Cardiac Catheterization Lab, 2242",S NASSAU,,CLOSED,,FALSE,FALSE,174.5,S NASSAU,S NASSAU,,False,PP-CA-723,,Yes,Yes,,54497,COOK MEDICAL,COOK MEDICAL,,,No, ,NO,,,,CLOSED,1,3.5,CLOSED,CA,2/1/2026 12:00:00 AM,,,NF,,,Debbie Jonason,,,STORE,174,,,,COOK MEDICAL INC,6030
