name,domain,website,linkedin_url,industry,vertical,tier,status,headquarters,address,city,state,zip,phone,estimated_employees,estimated_revenue,total_beds,acute_beds,description,keywords,founded_year,twitter_url,facebook_url,logo_url,rural_urban,pay_type,source,source_id,apollo_id,recallwire_package,recallwire_price,recallwire_price_monthly,entity_type,parent_system,parent_system_id,tier,segment,individual_price,system_price,effective_price,priority_score,region,in_vantage,system_in_vantage
Southeast Health Medical Center,,,,Healthcare,healthcare,Enterprise Plus,new,"Dothan, AL",1108 Ross Clark Circle,Dothan,AL,36301,+1 (334) 793-8701,2520,630000000,420,345.0,,,,,,,Urban,RRC,us_hospital_list_2024,10001,,Enterprise Plus,46000.0,3833.33,system_member,Southeast Health,southeast_health_al,Enterprise Plus,regional,57600,5000.0,5000.0,35,Southeast,false,false
Marshall Medical Centers South Campus,,,,Healthcare,healthcare,Enterprise,new,"Boaz, AL",2505 U S Highway 431 North,Boaz,AL,35957,+1 (256) 593-8310,1440,360000000,240,182.0,,,,,,,Rural,RRC,us_hospital_list_2024,10005,,Enterprise,30400.0,2533.33,independent,,,Enterprise,regional,28200,,28200,44,Southeast,false,false
North Alabama Medical Center,namccares.com,http://www.namccares.com,http://www.linkedin.com/company/north-alabama-medical-center,Healthcare,healthcare,Enterprise,new,"Florence, AL",1701 Veterans Drive,Florence,AL,35630,+1 (256) 629-1000,2028,507000000,338,223.0,,,2018,,https://www.facebook.com/namccares/,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696a4a5a4a1638000118cd18/picture,Urban,RRC,us_hospital_list_2024,10006,5da2de2256ee6c000143ef03,Enterprise,36300.0,3025.0,independent,,,Enterprise,regional,31140,,31140,44,Southeast,false,false
Mizell Memorial Hospital,mizellmh.com,http://www.mizellmh.com,http://www.linkedin.com/company/mizell-memorial-hospital,Healthcare,healthcare,Enterprise,new,"Opp, AL",702 N Main St.,Opp,AL,36467,+1 (334) 493-3541,594,148500000,99,45.0,,,1949,,https://facebook.com/mizellmh,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e6b0fd5d67270001767c9d/picture,Rural,MDH,us_hospital_list_2024,10007,5d7bcfa916a2ad009894ffb3,Enterprise,22400,1866.67,independent,,,Enterprise,community,23970,,23970,36,Southeast,false,false
Crenshaw Community Hospital,crenshawcommunityhospital.com,http://www.crenshawcommunityhospital.com,http://www.linkedin.com/company/crenshaw-community-hospital,Healthcare,healthcare,Enterprise,new,"Luverne, AL",101 Hospital Circle,Luverne,AL,36049,+1 (334) 335-3374,390,97500000,65,29.0,,,1963,,https://facebook.com/crenshawcommunityhospital,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6756ad6509983c000112d940/picture,Rural,PPS,us_hospital_list_2024,10008,61bb0e6ac2505000da275e15,Enterprise,20800,1733.33,independent,,,Enterprise,community,22950,,22950,36,Southeast,false,false
St. Vincent's East,,,http://www.linkedin.com/company/st.-vincent's-east-llc,Healthcare,healthcare,Enterprise,new,"Birmingham, AL",50 Medical Park East Drive,Birmingham,AL,35235,+1 (205) 838-3122,2172,543000000,362,286.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10011,6710a0de0feb7500011e5fe5,Enterprise,37700.0,3141.67,system_member,Ascension St. Vincent's (Alabama),medstar_ascension_al,Enterprise,community,31860,5000.0,5000.0,32,Southeast,false,false
Dekalb Regional Medical Center,,,http://www.linkedin.com/company/dekalb-regional-medical-center,Healthcare,healthcare,Enterprise,new,"Fort Payne, AL",200 Med Center Drive,Fort Payne,AL,35968,+1 (256) 845-3150,804,201000000,134,97.0,,,1986,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6965d919640b8a0001502386/picture,Rural,SCH,us_hospital_list_2024,10012,5da6a527364e5500014274f9,Enterprise,24200,2016.67,independent,,,Enterprise,community,25020,,25020,42,Southeast,false,false
Shelby Baptist Medical Center,,,http://www.linkedin.com/company/shelby-baptist-medical-center,Healthcare,healthcare,Enterprise,new,"Alabaster, AL",1000 First Street North,Alabaster,AL,35007,+1 (205) 620-8100,1512,378000000,252,212.0,,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10016,6667d16bb694050001320186,Enterprise,31100.0,2591.67,system_member,Baptist Health (Multi-state),baptist_health_system,Enterprise,regional,28560,4500.0,4500.0,35,Southeast,false,false
UAB Callahan Eye Hospital Authority,,,http://www.linkedin.com/company/uab-callahan-eye-hospital-authority,Healthcare,healthcare,Enterprise,new,"Birmingham, AL",1720 University Blvd Ste 305,Birmingham,AL,35233,+1 (205) 325-8596,636,159000000,106,6.0,,,2012,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Urban,PPS,us_hospital_list_2024,10018,670b9efbae42a700014ebb75,Enterprise,22800,1900.0,independent,,,Enterprise,community,24180,,24180,36,Southeast,false,false
Helen Keller Memorial Hospital,,,,Healthcare,healthcare,Enterprise,new,"Sheffield, AL",1300 South Montgomery Avenue,Sheffield,AL,35660,+1 (256) 386-4556,1110,277500000,185,178.0,,,,,,,Urban,PPS,us_hospital_list_2024,10019,,Enterprise,27100.0,2258.33,independent,,,Enterprise,community,26550,,26550,42,Southeast,false,false
