name,domain,headquarters,industry,estimated_employees,estimated_revenue,tier,linkedin_url,description,key_services,tags,status,notes
AdventHealth,,"Rome, GA",Healthcare,1872,468000000,large,,"AdventHealth is a 3-hospital health system with 312 total beds in GA. Facilities: Adventhealth Redmond, Adventhealth Gordon, Adventhealth Murray",Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:3; total-beds:312; rw-package:Enterprise,new,"RW System Price: $11,700/yr | Locations: Calhoun, GA, Chatsworth, GA, Rome, GA"
AnMed Health,,"Anderson, SC",Healthcare,3198,799500000,large,,AnMed Health is a 1-hospital health system with 533 total beds in SC. Facilities: Anmed Health,Hospital Services; Medical Device Management; Patient Care,SC; health-system; facilities:1; total-beds:533; rw-package:Enterprise Plus,new,"RW System Price: $6,000/yr | Locations: Anderson, SC"
Bon Secours Mercy Health,ropersaintfrancis.com,"Charleston, SC",Healthcare,1224,306000000,large,http://www.linkedin.com/company/bon-secours-st.-francis-xavier-hospital,Bon Secours Mercy Health is a 1-hospital health system with 204 total beds in SC. Facilities: Bon Secours-St Francis Xavier Hospital,Hospital Services; Medical Device Management; Patient Care,SC; health-system; facilities:1; total-beds:204; rw-package:Enterprise,new,"RW System Price: $4,500/yr | Locations: Charleston, SC"
Lexington Medical Center,,"West Columbia, SC",Healthcare,2760,690000000,large,,Lexington Medical Center is a 1-hospital health system with 460 total beds in SC. Facilities: Lexington Medical Center,Hospital Services; Medical Device Management; Patient Care,SC; health-system; facilities:1; total-beds:460; rw-package:Enterprise Plus,new,"RW System Price: $5,000/yr | Locations: West Columbia, SC"
M Health Fairview,effinghamhealth.org,"Springfield, GA",Healthcare,150,37500000,mid-market,http://www.linkedin.com/company/effingham-health-system,M Health Fairview is a 1-hospital health system with 25 total beds in GA. Facilities: Effingham Health System,Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:1; total-beds:25; rw-package:Standard,new,"RW System Price: $3,800/yr | Locations: Springfield, GA"
McLeod Health,,"Florence, SC",Healthcare,3606,901500000,large,http://www.linkedin.com/company/mcleod-health-cheraw,"McLeod Health is a 3-hospital health system with 601 total beds in SC. Facilities: Mcleod Regional Medical Center-Pee Dee, Mcleod Health Clarendon, Mcleod Health Cheraw",Hospital Services; Medical Device Management; Patient Care,SC; health-system; facilities:3; total-beds:601; rw-package:Enterprise,new,"RW System Price: $13,000/yr | Locations: Cheraw, SC, Florence, SC, Manning, SC"
Memorial Health (Savannah),,"Savannah, GA",Healthcare,3180,795000000,large,http://www.linkedin.com/company/memorial-health-university-medical-center-inc,Memorial Health (Savannah) is a 1-hospital health system with 530 total beds in GA. Facilities: Memorial Health University Medical Center,Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:1; total-beds:530; rw-package:Enterprise Plus,new,"RW System Price: $6,000/yr | Locations: Savannah, GA"
Northeast Georgia Health System,,"Gainesville, GA",Healthcare,3732,933000000,large,,"Northeast Georgia Health System is a 4-hospital health system with 622 total beds in GA. Facilities: Northeast Georgia Medical Center, Inc, Northeast Georgia Medical Center Barrow, Northeast Georgia Medical Center Habersham, Northeast Georgia Medical Center Lumpkin",Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:4; total-beds:622; rw-package:Enterprise,new,"RW System Price: $17,000/yr | Locations: Dahlonega, GA, Demorest, GA, Gainesville, GA, Winder, GA"
Northside Hospital,nhcherokeeauxiliary.com,"Atlanta, GA",Healthcare,8352,2088000000,enterprise,http://www.linkedin.com/company/northside-hospital-forsyth-womens-center,"Northside Hospital is a 5-hospital health system with 1392 total beds in GA. Facilities: Northside Hospital, Northside Hospital Forsyth, Northside Hospital Gwinnett, Northside Hospital Duluth, Northside Hospital Cherokee",Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:5; total-beds:1392; rw-package:Enterprise,new,"RW System Price: $23,000/yr | Locations: Atlanta, GA, Canton, GA, Cumming, GA, Duluth, GA, Lawrenceville, GA"
Phoebe Putney Health System,,"Albany, GA",Healthcare,5154,1288500000,enterprise,http://www.linkedin.com/company/phoebe-sumter-medical-center,"Phoebe Putney Health System is a 3-hospital health system with 859 total beds in GA. Facilities: Phoebe Putney Memorial Hospital, Phoebe Sumter Medical Center, Phoebe Worth Medical Center",Hospital Services; Medical Device Management; Patient Care,GA; health-system; facilities:3; total-beds:859; rw-package:Enterprise Plus,new,"RW System Price: $14,000/yr | Locations: Albany, GA, Americus, GA, Sylvester, GA"
